"Year","Disease","Rate"
1984,"Syphilis",29.6
1985,"Syphilis",28.4
1986,"Syphilis",28.2
1987,"Syphilis",36
1988,"Syphilis",42.8
1989,"Syphilis",46.6
1990,"Syphilis",54.3
1991,"Syphilis",50.9
1992,"Syphilis",44.7
1993,"Syphilis",39.5
1994,"Syphilis",31.4
1995,"Syphilis",26
1996,"Syphilis",19.8
1997,"Syphilis",17.1
1998,"Syphilis",13.9
1999,"Syphilis",12.7
2000,"Syphilis",11.2
2001,"Syphilis",11.3
2002,"Syphilis",11.4
2003,"Syphilis",11.8
2004,"Syphilis",11.4
2005,"Syphilis",11.2
2006,"Syphilis",12.3
2007,"Syphilis",13.6
2008,"Syphilis",15.2
2009,"Syphilis",14.6
2010,"Syphilis",14.8
2011,"Syphilis",14.8
2012,"Syphilis",15.9
2013,"Syphilis",17.9
2014,"Syphilis",19.9
2015,"Syphilis",23.2
2016,"Syphilis",27.4
1984,"Chlamydia",6.5
1985,"Chlamydia",17.4
1986,"Chlamydia",35.2
1987,"Chlamydia",50.8
1988,"Chlamydia",87.1
1989,"Chlamydia",102.5
1990,"Chlamydia",160.2
1991,"Chlamydia",179.7
1992,"Chlamydia",182.3
1993,"Chlamydia",178
1994,"Chlamydia",192.5
1995,"Chlamydia",187.8
1996,"Chlamydia",190.6
1997,"Chlamydia",205.5
1998,"Chlamydia",231.8
1999,"Chlamydia",247.2
2000,"Chlamydia",251.4
2001,"Chlamydia",274.5
2002,"Chlamydia",289.4
2003,"Chlamydia",301.7
2004,"Chlamydia",316.5
2005,"Chlamydia",329.4
2006,"Chlamydia",344.3
2007,"Chlamydia",367.5
2008,"Chlamydia",398.1
2009,"Chlamydia",405.3
2010,"Chlamydia",423.6
2011,"Chlamydia",453.4
2012,"Chlamydia",453.3
2013,"Chlamydia",443.5
2014,"Chlamydia",452.2
2015,"Chlamydia",475
2016,"Chlamydia",497.3
1984,"Gonorrhea",372.5
1985,"Gonorrhea",383
1986,"Gonorrhea",371.5
1987,"Gonorrhea",325
1988,"Gonorrhea",301.9
1989,"Gonorrhea",297.1
1990,"Gonorrhea",276.4
1991,"Gonorrhea",245.8
1992,"Gonorrhea",196
1993,"Gonorrhea",171.1
1994,"Gonorrhea",163.9
1995,"Gonorrhea",147.5
1996,"Gonorrhea",121.8
1997,"Gonorrhea",120.2
1998,"Gonorrhea",129.2
1999,"Gonorrhea",129.3
2000,"Gonorrhea",128.7
2001,"Gonorrhea",126.8
2002,"Gonorrhea",122
2003,"Gonorrhea",115.2
2004,"Gonorrhea",112.4
2005,"Gonorrhea",114.6
2006,"Gonorrhea",119.7
2007,"Gonorrhea",118
2008,"Gonorrhea",110.7
2009,"Gonorrhea",98.1
2010,"Gonorrhea",100.2
2011,"Gonorrhea",103.3
2012,"Gonorrhea",106.7
2013,"Gonorrhea",105.3
2014,"Gonorrhea",109.8
2015,"Gonorrhea",123
2016,"Gonorrhea",145.8
1984,"Chancroid",0.3
1985,"Chancroid",0.9
1986,"Chancroid",1.3
1987,"Chancroid",2.1
1988,"Chancroid",2
1989,"Chancroid",1.9
1990,"Chancroid",1.7
1991,"Chancroid",1.4
1992,"Chancroid",0.7
1993,"Chancroid",0.5
1994,"Chancroid",0.3
1995,"Chancroid",0.2
1996,"Chancroid",0.1
1997,"Chancroid",0.1
1998,"Chancroid",0.1
1999,"Chancroid",0
2000,"Chancroid",0
2001,"Chancroid",0
2002,"Chancroid",0
2003,"Chancroid",0
2004,"Chancroid",0
2005,"Chancroid",0
2006,"Chancroid",0
2007,"Chancroid",0
2008,"Chancroid",0
2009,"Chancroid",0
2010,"Chancroid",0
2011,"Chancroid",0
2012,"Chancroid",0
2013,"Chancroid",0
2014,"Chancroid",0
2015,"Chancroid",0
2016,"Chancroid",0
1984,"(All)",408.9
1985,"(All)",429.7
1986,"(All)",436.2
1987,"(All)",413.9
1988,"(All)",433.8
1989,"(All)",448.1
1990,"(All)",492.6
1991,"(All)",477.8
1992,"(All)",423.7
1993,"(All)",389.1
1994,"(All)",388.1
1995,"(All)",361.5
1996,"(All)",332.3
1997,"(All)",342.9
1998,"(All)",375
1999,"(All)",389.2
2000,"(All)",391.3
2001,"(All)",412.6
2002,"(All)",422.8
2003,"(All)",428.7
2004,"(All)",440.3
2005,"(All)",455.2
2006,"(All)",476.3
2007,"(All)",499.1
2008,"(All)",524
2009,"(All)",518
2010,"(All)",538.6
2011,"(All)",571.5
2012,"(All)",575.9
2013,"(All)",566.7
2014,"(All)",581.9
2015,"(All)",621.2
2016,"(All)",670.5
