"date","hits"
2004,1
2004.08469945355,1
2004.16393442623,1
2004.24863387978,1
2004.3306010929,1
2004.41530054645,1
2004.49726775956,1
2004.58196721311,1
2004.66666666667,1
2004.74863387978,2
2004.83333333333,1
2004.91530054645,2
2005,1
2005.08493150685,1
2005.16164383562,1
2005.24657534247,1
2005.32876712329,1
2005.41369863014,1
2005.49589041096,1
2005.58082191781,1
2005.66575342466,1
2005.74794520548,1
2005.83287671233,1
2005.91506849315,2
2006,1
2006.08493150685,1
2006.16164383562,1
2006.24657534247,1
2006.32876712329,1
2006.41369863014,1
2006.49589041096,1
2006.58082191781,1
2006.66575342466,1
2006.74794520548,1
2006.83287671233,1
2006.91506849315,2
2007,1
2007.08493150685,1
2007.16164383562,1
2007.24657534247,1
2007.32876712329,1
2007.41369863014,2
2007.49589041096,1
2007.58082191781,1
2007.66575342466,1
2007.74794520548,1
2007.83287671233,1
2007.91506849315,1
2008,1
2008.08469945355,1
2008.16393442623,1
2008.24863387978,1
2008.3306010929,1
2008.41530054645,1
2008.49726775956,1
2008.58196721311,1
2008.66666666667,1
2008.74863387978,1
2008.83333333333,1
2008.91530054645,1
2009,1
2009.08493150685,1
2009.16164383562,1
2009.24657534247,1
2009.32876712329,1
2009.41369863014,1
2009.49589041096,1
2009.58082191781,1
2009.66575342466,1
2009.74794520548,1
2009.83287671233,1
2009.91506849315,1
2010,1
2010.08493150685,1
2010.16164383562,1
2010.24657534247,1
2010.32876712329,1
2010.41369863014,1
2010.49589041096,1
2010.58082191781,1
2010.66575342466,1
2010.74794520548,1
2010.83287671233,1
2010.91506849315,1
2011,1
2011.08493150685,1
2011.16164383562,1
2011.24657534247,1
2011.32876712329,1
2011.41369863014,1
2011.49589041096,1
2011.58082191781,1
2011.66575342466,1
2011.74794520548,1
2011.83287671233,1
2011.91506849315,1
2012,1
2012.08469945355,1
2012.16393442623,1
2012.24863387978,1
2012.3306010929,1
2012.41530054645,1
2012.49726775956,1
2012.58196721311,1
2012.66666666667,1
2012.74863387978,1
2012.83333333333,1
2012.91530054645,2
2013,13
2013.08493150685,17
2013.16164383562,12
2013.24657534247,12
2013.32876712329,12
2013.41369863014,15
2013.49589041096,22
2013.58082191781,22
2013.66575342466,22
2013.74794520548,25
2013.83287671233,26
2013.91506849315,29
2014,38
2014.08493150685,59
2014.16164383562,60
2014.24657534247,62
2014.32876712329,59
2014.41369863014,70
2014.49589041096,84
2014.58082191781,73
2014.66575342466,85
2014.74794520548,83
2014.83287671233,84
2014.91506849315,85
2015,88
2015.08493150685,99
2015.16164383562,82
2015.24657534247,78
2015.32876712329,82
2015.41369863014,82
2015.49589041096,88
2015.58082191781,100
2015.66575342466,84
2015.74794520548,87
2015.83287671233,85
2015.91506849315,77
2016,79
